mse_penalty,tol,breakpoint_reg,t_squared_objective,lower_bound,upper_bound
5.333333333333333,1e-06,1e-08,True,0.04886504702784265,
5.333333333333333,1e-06,1e-08,False,0.04725954743905756,
5.333333333333333,1e-09,0.0,True,0.04886026766459161,
5.333333333333333,1e-09,0.0,False,0.04725830605012912,
5.333333333333333,1e-09,1e-12,True,0.04886027555758126,
5.333333333333333,1e-09,1e-12,False,0.04725830605158399,
5.333333333333333,1e-09,1e-08,True,0.048860265873534,
5.333333333333333,1e-09,1e-08,False,0.047258313914473715,1.8766026782246386
5.666666666666666,1e-06,0.0,True,0.04886330505513006,
5.666666666666666,1e-06,0.0,False,0.047479848888495435,
5.666666666666666,1e-06,1e-12,True,0.04886330504052482,1.0468404247480991
5.666666666666666,1e-06,1e-12,False,0.04747984888985904,
5.666666666666666,1e-06,1e-08,True,0.04886331371094401,
5.666666666666666,1e-06,1e-08,False,0.0474798584130271,
5.666666666666666,1e-09,0.0,True,0.048860296396144566,
5.666666666666666,1e-09,0.0,False,0.047481136633718946,
5.666666666666666,1e-09,1e-12,True,0.04886030635311012,
5.666666666666666,1e-09,1e-12,False,0.047481136872912104,
5.666666666666666,1e-09,1e-08,True,0.04886031638409976,
5.666666666666666,1e-09,1e-08,False,0.047481145558310664,
6.0,1e-06,0.0,True,0.04885846944289867,
6.0,1e-06,0.0,False,0.047653719328040633,1.8030770069268631
6.0,1e-06,1e-12,True,0.0488584694555201,
6.0,1e-06,1e-12,False,0.04765371934089008,
6.0,1e-06,1e-08,True,0.048858476911075366,
6.0,1e-06,1e-08,False,0.04765372971965047,
6.0,1e-09,0.0,True,0.04886035093423972,
6.0,1e-09,0.0,False,0.047657370103088306,
6.0,1e-09,1e-12,True,0.04886033095028202,
6.0,1e-09,1e-12,False,0.047657370173053916,
6.0,1e-09,1e-08,True,0.048860341751840626,
6.0,1e-09,1e-08,False,0.0476573790675935,
6.333333333333333,1e-06,0.0,True,0.0488616801113599,
6.333333333333333,1e-06,0.0,False,0.04779719166674708,1.728300391719151
6.333333333333333,1e-06,1e-12,True,0.04886168020950629,1.0468389587855749
6.333333333333333,1e-06,1e-12,False,0.04779719133981523,1.728300384721273
6.333333333333333,1e-06,1e-08,True,0.04886169393440744,
6.333333333333333,1e-06,1e-08,False,0.047797198607320554,1.728300637483879
6.333333333333333,1e-09,0.0,True,0.048860348738202816,
6.333333333333333,1e-09,0.0,False,0.04779940470983916,
6.333333333333333,1e-09,1e-12,True,0.04886036261877525,
6.333333333333333,1e-09,1e-12,False,0.04779940569194828,
6.333333333333333,1e-09,1e-08,True,0.04886037295204182,1.0468383396426453
6.333333333333333,1e-09,1e-08,False,0.04779941284421294,
6.666666666666666,1e-06,0.0,True,0.048859937670728736,1.0468389754055483
6.666666666666666,1e-06,0.0,False,0.04791980169251457,1.6576300485459852
6.666666666666666,1e-06,1e-12,True,0.048859937716552004,
6.666666666666666,1e-06,1e-12,False,0.04791980167959231,
6.666666666666666,1e-06,1e-08,True,0.04885987520252337,
6.666666666666666,1e-06,1e-08,False,0.04791981101654472,
6.666666666666666,1e-09,0.0,True,0.04886037121542509,
6.666666666666666,1e-09,0.0,False,0.04791592840342051,
6.666666666666666,1e-09,1e-12,True,0.048860371164457406,
6.666666666666666,1e-09,1e-12,False,0.0479159300322997,
6.666666666666666,1e-09,1e-08,True,0.04886040896825735,
6.666666666666666,1e-09,1e-08,False,0.04791593961711075,
7.0,1e-06,0.0,True,0.04886433983955962,
7.0,1e-06,0.0,False,0.048014482195148984,
7.0,1e-06,1e-12,True,0.04886433995567247,
7.0,1e-06,1e-12,False,0.04801448221457096,
7.0,1e-06,1e-08,True,0.04886436203891622,
7.0,1e-06,1e-08,False,0.048014491498516824,
7.0,1e-09,0.0,True,0.04886041593762192,
7.0,1e-09,0.0,False,0.04801307477692129,
7.0,1e-09,1e-12,True,0.04886041607441334,
7.0,1e-09,1e-12,False,0.04801307477722003,
7.0,1e-09,1e-08,True,0.04886042808711848,
7.0,1e-09,1e-08,False,0.04801308256707102,1.5880465404893864
7.333333333333333,1e-06,0.0,True,0.04885908615616184,
7.333333333333333,1e-06,0.0,False,0.04809293685784154,
7.333333333333333,1e-06,1e-12,True,0.048859086095360965,
7.333333333333333,1e-06,1e-12,False,0.04809293685835741,
7.333333333333333,1e-06,1e-08,True,0.04885909180922988,
7.333333333333333,1e-06,1e-08,False,0.04809294680427201,
7.333333333333333,1e-09,0.0,True,0.04886042151315763,
7.333333333333333,1e-09,0.0,False,0.048095232553076836,
7.333333333333333,1e-09,1e-12,True,0.04886042016621012,
7.333333333333333,1e-09,1e-12,False,0.048095232452389884,
7.333333333333333,1e-09,1e-08,True,0.048860431794558255,
7.333333333333333,1e-09,1e-08,False,0.04809524211879868,
7.666666666666666,1e-06,0.0,True,0.048860132028540414,
7.666666666666666,1e-06,0.0,False,0.04815873042573836,1.4690657701748602
7.666666666666666,1e-06,1e-12,True,0.04885958646952905,
7.666666666666666,1e-06,1e-12,False,0.04815873045947934,
7.666666666666666,1e-06,1e-08,True,0.04887310434887194,
7.666666666666666,1e-06,1e-08,False,0.04815873973778933,1.469066021085863
7.666666666666666,1e-09,0.0,True,0.04886043702533776,
7.666666666666666,1e-09,0.0,False,0.04816559322338811,
7.666666666666666,1e-09,1e-12,True,0.048860433323587985,
7.666666666666666,1e-09,1e-12,False,0.048165594498009986,
7.666666666666666,1e-09,1e-08,True,0.04886043659886715,
7.666666666666666,1e-09,1e-08,False,0.048165598632573504,
8.0,1e-06,0.0,True,0.04886336776397294,
